ds,total
15/11/2020,101558
16/11/2020,152024
17/11/2020,135948
18/11/2020,141801
19/11/2020,171463
20/11/2020,157611
21/11/2020,92018
22/11/2020,91867
23/11/2020,144400
24/11/2020,130633
25/11/2020,124046
26/11/2020,115683
27/11/2020,98277
28/11/2020,81675
29/11/2020,78073
30/11/2020,98364
01/12/2020,1719
02/12/2020,62349
03/12/2020,103113
04/12/2020,97096
05/12/2020,71740
06/12/2020,70212
07/12/2020,115234
08/12/2020,109845
09/12/2020,103302
10/12/2020,90705
11/12/2020,84947
12/12/2020,67474
13/12/2020,69840
14/12/2020,106529
15/12/2020,90647
16/12/2020,91109
17/12/2020,79867
18/12/2020,75659
19/12/2020,55040
20/12/2020,47017
21/12/2020,76503
22/12/2020,67177
23/12/2020,57019
24/12/2020,33953
25/12/2020,17729
26/12/2020,44625
27/12/2020,83358
28/12/2020,101790
29/12/2020,115794
30/12/2020,95016
31/12/2020,63186
01/01/2021,69526
02/01/2021,91069
03/01/2021,94236
04/01/2021,146262
05/01/2021,127373
06/01/2021,121927
07/01/2021,113915
08/01/2021,116194
09/01/2021,99463
10/01/2021,101720
11/01/2021,147227
12/01/2021,135002
13/01/2021,134497
14/01/2021,139181
15/01/2021,119905
16/01/2021,111689
17/01/2021,105432
18/01/2021,163274
19/01/2021,149870
20/01/2021,142516
21/01/2021,147016
22/01/2021,126458
23/01/2021,112282
24/01/2021,102767
25/01/2021,158897
26/01/2021,147005
27/01/2021,135461
28/01/2021,148645
29/01/2021,132536
30/01/2021,121812
31/01/2021,119358
01/02/2021,163108
02/02/2021,160417
03/02/2021,157645
04/02/2021,151609
05/02/2021,141727
06/02/2021,129672
07/02/2021,121100
08/02/2021,169840
09/02/2021,157001
10/02/2021,162110
11/02/2021,163840
12/02/2021,151155
13/02/2021,142816
14/02/2021,140347
15/02/2021,224328
16/02/2021,207224
17/02/2021,202710
18/02/2021,193695
19/02/2021,180423
20/02/2021,155753
21/02/2021,153323
22/02/2021,226294
23/02/2021,203200
24/02/2021,197363
25/02/2021,189691
26/02/2021,166617
27/02/2021,154671
28/02/2021,167312
01/03/2021,216902
02/03/2021,195169
03/03/2021,182971
04/03/2021,172102
05/03/2021,148199
06/03/2021,134794
07/03/2021,135638
08/03/2021,187367
09/03/2021,165541
10/03/2021,169977
11/03/2021,172128
12/03/2021,152050
13/03/2021,139763
14/03/2021,117257
15/03/2021,201262
16/03/2021,183612
17/03/2021,168954
18/03/2021,153458
19/03/2021,138467
20/03/2021,123681
21/03/2021,120557
22/03/2021,192508
23/03/2021,171427
24/03/2021,177793
25/03/2021,170192
26/03/2021,153361
27/03/2021,130273
28/03/2021,129539
29/03/2021,181550
30/03/2021,160889
31/03/2021,157999
01/04/2021,142187
02/04/2021,111793
03/04/2021,107891
04/04/2021,89480
05/04/2021,142821
06/04/2021,214069
07/04/2021,193998
08/04/2021,177968
09/04/2021,144524
10/04/2021,121841
11/04/2021,115472
12/04/2021,184051
13/04/2021,174440
14/04/2021,167106
15/04/2021,160974
16/04/2021,141374
17/04/2021,101583
18/04/2021,110616
19/04/2021,182975
20/04/2021,169551
21/04/2021,170976
22/04/2021,153749
23/04/2021,134432
24/04/2021,108143
25/04/2021,117481
26/04/2021,190857
27/04/2021,174999
28/04/2021,173870
29/04/2021,158116
30/04/2021,137888
01/05/2021,108291
02/05/2021,101753
03/05/2021,151260
04/05/2021,218394
05/05/2021,194801
06/05/2021,169334
07/05/2021,146114
08/05/2021,134642
09/05/2021,119545
10/05/2021,213523
11/05/2021,154349
12/05/2021,169452
13/05/2021,151693
14/05/2021,132538
15/05/2021,109658
16/05/2021,115369
17/05/2021,182601
18/05/2021,164854
19/05/2021,155550
20/05/2021,149888
21/05/2021,140522
22/05/2021,106190
23/05/2021,110396
24/05/2021,190826
25/05/2021,165044
26/05/2021,143296
27/05/2021,125293
28/05/2021,109185
29/05/2021,77362
30/05/2021,67949
31/05/2021,85254
01/06/2021,155863
02/06/2021,151251
03/06/2021,177118
04/06/2021,169486
05/06/2021,88373
06/06/2021,97176
07/06/2021,171766
08/06/2021,150996
09/06/2021,136478
10/06/2021,132224
11/06/2021,117638
12/06/2021,78906
13/06/2021,76218
14/06/2021,152571
15/06/2021,144177
16/06/2021,135009
17/06/2021,138495
18/06/2021,130224
19/06/2021,97034
20/06/2021,93713
21/06/2021,174549
22/06/2021,147828
23/06/2021,137344
24/06/2021,134481
25/06/2021,120245
26/06/2021,88014
27/06/2021,101082
28/06/2021,170261
29/06/2021,134974
30/06/2021,138896
01/07/2021,129998
02/07/2021,113998
03/07/2021,89433
04/07/2021,101840
05/07/2021,170994
06/07/2021,163703
07/07/2021,127758
08/07/2021,123519
09/07/2021,107831
10/07/2021,90417
